area,year,type,Total All Jobs,Age 29 or younger,Age 30 to 54,Age 55 or older,"$1,250 per month or less","$1,251 to $3,333 per month","More than $3,333 per month","Agriculture, Forestry, Fishing and Hunting","Mining, Quarrying, and Oil and Gas Extraction",Utilities,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transportation and Warehousing,Information,Finance and Insurance,Real Estate and Rental and Leasing,"Professional, Scientific, and Technical Services",Management of Companies and Enterprises,"Administration & Support, Waste Management and Remediation",Educational Services,Health Care and Social Assistance,"Arts, Entertainment, and Recreation",Accommodation and Food Services,Other Services (excluding Public Administration),Public Administration,White Alone,Black or African American Alone,American Indian or Alaska Native Alone,Asian Alone,Native Hawaiian or Other Pacific Islander Alone,Two or More Race Groups,Not Hispanic or Latino,Hispanic or Latino,Less than high school,"High school or equivalent, no college",Some college or Associate degree,Bachelor's degree or advanced degree,Educational attainment not available (workers aged 29 or younger),Male,Female
home,2011,Share,1,0.259539919,0.566170501,0.174289581,0.290708164,0.440956247,0.268335589,0.006405052,0.000180424,0.003563374,0.040595399,0.046143437,0.028101037,0.123094272,0.045917907,0.020884078,0.081326116,0.013892648,0.050969779,0.01420839,0.084844384,0.061795219,0.201533604,0.014343708,0.084979702,0.032295895,0.044925575,0.460081191,0.505322508,0.00405954,0.015967524,0.001037438,0.0135318,0.876184032,0.123815968,0.108660352,0.210735228,0.247000451,0.174064051,0.259539919,0.446955345,0.553044655
home,2010,Count,22378,5600,12922,3856,6311,9912,6155,127,6,78,913,1112,716,2655,1041,476,1853,299,1111,337,1732,1417,4581,360,1764,721,1079,10538,11040,102,388,25,285,19679,2699,2382,4734,5531,4131,5600,10122,12256
home,2010,Share,1,0.250245777,0.577442131,0.172312092,0.282018053,0.442935025,0.275046921,0.005675217,0.00026812,0.003485566,0.040798999,0.049691661,0.03199571,0.11864331,0.046518902,0.021270891,0.08280454,0.013361337,0.049646975,0.015059433,0.077397444,0.063321119,0.204709983,0.016087229,0.07882742,0.032219144,0.048216999,0.470908928,0.493341675,0.004558048,0.017338457,0.001117169,0.012735723,0.879390473,0.120609527,0.106443829,0.211547055,0.247162392,0.184600947,0.250245777,0.452319242,0.547680758
home,2009,Count,23731,6326,13695,3710,7036,10753,5942,164,2,86,987,1213,738,2840,1061,533,2175,325,1208,450,1952,1502,4675,387,1891,775,767,11392,11409,103,527,23,277,21140,2591,2374,4963,5742,4326,6326,10579,13152
home,2009,Share,1,0.266571152,0.577093254,0.156335595,0.296489823,0.453120391,0.250389786,0.006910792,8.42779E-05,0.003623952,0.041591168,0.051114576,0.031098563,0.119674687,0.044709452,0.022460073,0.091652269,0.013695167,0.050903881,0.018962538,0.082255278,0.063292739,0.196999705,0.016307783,0.0796848,0.032657705,0.032320593,0.480047196,0.480763558,0.004340314,0.022207239,0.000969196,0.011672496,0.890817917,0.109182083,0.100037925,0.20913573,0.241961991,0.182293203,0.266571152,0.44578821,0.55421179
home,2008,Count,26367,7570,14610,4187,7909,11540,6918,137,7,108,1440,1511,974,3319,1039,568,2220,416,1703,594,2021,1726,3827,496,2233,1053,975,,,,,,,,,,,,,,,
home,2008,Share,1,0.287101301,0.554101718,0.158796981,0.299958281,0.437668297,0.262373421,0.005195889,0.000265483,0.004096029,0.054613722,0.057306482,0.036940115,0.125877043,0.039405317,0.021542079,0.084196154,0.015777297,0.064588311,0.02252816,0.076648841,0.065460614,0.145143551,0.018811393,0.084689195,0.039936284,0.036978041,,,,,,,,,,,,,,,
home,2007,Count,25715,7163,14484,4068,7876,11389,6450,137,5,108,1509,1558,914,3201,970,461,2317,439,1421,603,2097,1597,3873,501,1929,1061,1014,,,,,,,,,,,,,,,
home,2007,Share,1,0.278553374,0.563251021,0.158195606,0.306280381,0.442893253,0.250826366,0.00532763,0.000194439,0.004199883,0.058681703,0.060587206,0.035543457,0.124479876,0.037721174,0.01792728,0.090103053,0.017071748,0.055259576,0.023449349,0.081547735,0.06210383,0.150612483,0.019482792,0.075014583,0.041259965,0.039432238,,,,,,,,,,,,,,,
home,2006,Count,24268,6883,13854,3531,7637,11084,5547,133,10,96,1546,1512,869,2868,953,453,2213,364,1547,578,1904,1573,3694,522,1877,899,657,,,,,,,,,,,,,,,
home,2006,Share,1,0.283624526,0.570875227,0.145500247,0.314694248,0.456733147,0.228572606,0.005480468,0.000412065,0.003955827,0.063705291,0.062304269,0.035808472,0.11818032,0.03926982,0.018666557,0.091190045,0.014999176,0.063746497,0.023817373,0.078457228,0.064817867,0.152216911,0.021509807,0.077344651,0.037044668,0.027072688,,,,,,,,,,,,,,,
home,2005,Count,24541,6616,14221,3704,8061,11164,5316,154,3,122,1279,1521,854,2747,1051,421,2304,419,1633,659,2056,1438,3895,528,1835,958,664,,,,,,,,,,,,,,,
home,2005,Share,1,0.269589666,0.579479239,0.150931095,0.328470722,0.454912188,0.21661709,0.006275213,0.000122244,0.004971273,0.052116866,0.061977915,0.034798908,0.111935129,0.042826291,0.017154965,0.093883705,0.017073469,0.066541706,0.026853021,0.083778167,0.058595819,0.158713989,0.021515016,0.074772829,0.039036714,0.027056762,,,,,,,,,,,,,,,
home,2004,Count,24668,6463,14376,3829,8004,11497,5167,150,12,130,1367,1661,868,2780,939,487,2261,455,1640,664,2009,1399,3724,561,1903,891,767,,,,,,,,,,,,,,,
